mes_ano,vendas
jan-75,317
fev-75,194
mar-75,312
abr-75,316
mai-75,322
jun-75,334
jul-75,317
ago-75,356
set-75,428
out-75,411
nov-75,494
dez-75,412
jan-76,460
fev-76,395
mar-76,392
abr-76,447
mai-76,452
jun-76,571
jul-76,517
ago-76,397
set-76,410
out-76,579
nov-76,473
dez-76,558
jan-77,538
fev-77,570
mar-77,600
abr-77,565
mai-77,485
jun-77,604
jul-77,527
ago-77,603
set-77,604
out-77,790
nov-77,714
dez-77,653
jan-78,626
fev-78,690
mar-78,680
abr-78,673
mai-78,613
jun-78,744
jul-78,718
ago-78,767
set-78,728
out-78,793
nov-78,726
dez-78,777
